Accursed Jerkin	Darkspire Punisher
Boots of the Sensei	Silent Blade Sensei
Boots of the Source	Grim Mandate
Boots of the Waltz Macabre	Danse Macabre
Boots of the Zephyr	Arcane Zephyr
Borean Bracers	Borean Chimera
Borean Dagger	Borean Leopard
Bot Mind-Melder	Reese the Crustcrawler
Bottle of Vintage	Rollicking Reveler
Bottled Courage	Ardent Courage
Bottled Gas	Gas Troll
Bow of Soul's Chill	Harvester's Reaper
Bow of the Howler	Echohowl Alpha
Bow of the Surgesmith	Surgesmith Engineer
Box of Holy Bells	Night of Bells
Bracers of Brutality	Brutal Commander
Bracers of Manufacturing	Construct Guild Underboss
Bracers of the Antlerguard	Caribaur Antlerguard
Bramble Boots	Wrathwood Master Moss
Bramblebriar Helm	Briarpatch
Breached Socks	The Ruin of Ripplewood
Breast of the Phoenix	Wildflame Phoenix
Breastplate of Pride	Eldurathan's Glory
Breastplate of Pulverizing	Rampaging Tarasque
Breastplate of the Behemoth	Horrorcrafted Behemoth
Breastplate of the Blackheart	Blackheart Paladin
Breastplate of the Zealot	Gore Feast of Kog'Tepetl
Breeze Bolstered Boots	Whispering Breeze
Breeze Walkers	Invigorating Breeze
Brewmasters Boots	Brewmaster Buzzlebeard
Briarpatch Bracelet	Briarpatch Conjuror
Briggadon's Chestplate	Fist of Briggadon
Brighthammer Barbute	Brighthammer Adept
Brightmoon Boots	Brightmoon Brave
Brilliant Chestplate	Brilliant Tactician
Briny Robes	Salt Harpy
Bristled Breastplate	Bristlebarb Hag
Brittle Bone Guard	Rotting Away
Broach of the Tactician	Phoenix Guard Tactician
Brooch of Lunacy	Lunacy
Brown Leather Vest	Brown Fox Scout
Bruiser's Casing	Cottontail Bruiser
Brutal Boots	Brutal Brawler
Brutal Scimitar	Emberbrute
Brutal Standard	Jacked Brutalizer
Bubalus Bauble	Livid Buffalo
Bubble Mail	Air Elemental
Bubble Sting Bottle	Bubblebee
Buffalo Stew Bowl	Trotting Buffalo
Builder Top	Builder Bot
Bull Shark Tooth	Bull Shark
Bulldog Cudgel	Guard Dog
Bulwark of the Cinderclone	Cinderclone Offensive
Bulwark of the Impenetrable	Protectorate Defender
Bulwark of the Silver Talon	Exalted Commander
Bunny Slippers	Wakizashi Warbunny
Burning Armband	Burning Zombie
Bursting Bands	Blightbark Burster
Bursting Bauble	The Crowd Roars!
Bushwacker	Jungle Ambush
Butterfly Necklace	Kiss of the Princess
C.A.G.E. Drill	Robo Gnoll
Cackling Cranium	Scraptooth Cackler
Cafe Nether	Bitter Dread
Cake Cutter	Poppycakes
Calcified Greaves	Walking Boneyard
Call of the Flesh Eaters	Determined Zombie
Call to the Air	Earthcaller
Caller's Cowl	Transcend
Callow Clogs	Naive Lackey
Camouflage Boots	Ancestral Ambush
Camouflage Headband	Ambush Guide
Camouflage Vest	Master of Masks
Candle Lighters	Kindlekit
Candlelit Crown	Candle Crush
Cannibal Pestle	Gravebane Vial
Canvas Gloves	General's Tent
Cap of the Disgusting Insect	Grub Crawler
Capitulation Chestguard	Succumb To Madness
Captivating Guise	Enthralling Gaze
Caress of the Void	Chaotic Rip
Carnage Helm	Goreseeker
Carnal Knowledge	Succubus
Carnasaur Handlers	Carnasaurus
Carnasaurus Tooth	Carnasaurus
Carrion Mask	Carrion Thrasher
Casing of the Unseen	Shellsafe Sure Shot
Cavalry Greaves	Adamanthian Cavalry
Cavorting Chestguard	Wild Root Dancer
Celebratory Gloves	Holiday
Celestial Aegis	First of the Host
Celestial Map	Zodiac Shaman
Cement Shoes	Clutch of the Depths
Cerberus Collar	Cerberus
Ceremonial Coronet	Nibblin Ceremony
Ceremonial Guard	Mentor of Oakhenge
Ceremonial Hands	Benediction
Ceremonial Sash	Nibblin Ceremony
Cereus Headress	Life From Death
Certificate of Receipt	Contract Killing
Cerulean Charged Clog	Rite of Denial
Chain of the Marksman	Deadeye Marksman
Chain Shoes of Oblivion	Soul Cube
Chainstrike Mauler	Whirling Brutalizer
Chalice Gauntlets	Chalice of the Victor
Chaos Vine Vest	Pod of Shoggoth
Chaotic Cloak	Chaotic Murmurs
Charging Helm	Onslaught
Chest of Electrical Force	Cerebral Jack-hat
Chest of the Gatekeeper	Sophro's Gatekeeper
Chest of the Oni Order	Swiftpaw Trickster
Chestguard of Murmurs	Voice of Tombs
Chestguard of the Forager	Apex Forager
Chestguard of Zealotry	Bloodcrazed Zealot
Chestplate of Courage	Militant Paladin
Chewed up Boots	Mawstorm
Chickatwice Skin Jacket	Chickatwice
Chisel of the Necropolis	Necropolis Tablet
Chitinous Gloves	Dream Spider
Chittering Chains	Walking Hive
Chrome-etched Chestguard	Chrome Guardian
Chrono-glass Flail	Chronodaemon
Cindering Charge Treads	Army of the Arcane Cinder
City Watch Greaves	Captain of the Dragon Guard
Clashing Boots	Crackling Clash
Claw of Rampage	Runeclaw Berserker
Claw of the Phoenix	Wildflame Phoenix
Claw-toed Kickers	Scarcliff Chimera
Claw-toed Shoes	Chupacabra
Clay Claw Hammer	Experienced Masons
Cleric's Mace	Xentoth's Zealot
Cloak of Confession	Confession of Embers
Cloak of the Marrowmage	Marrowmage
Cloak of the Witching Hour	Midnight Spiritualist
Cloaking Cover	Hide and Seek
Cloud Gauntlets	Hawkwind
Cloudfeather Fan	Cloudwalk
Coat of the Tracker	Feralroot Tracker
Cocktail Shakers	Verdant Mixologist
Cog of the Machine	Adaptatron
Coil Gauntlets	Induction Coil
Coiled Walking Cane	Shillelagh Bully
Cold Chisel	Sorcerous Sculpting
Cold Weather Boots	Chained Peak Yeti
Colossus Shadow Axe	Jacked Colossus
Combat Boots	Underworld Officer
Combat Trail Blazers	Psychotic Anarchist
Comeuppance Helm	Judgement
Commander Armguards	Underfoot Commander
Commander's Brooch	Orders From High Command
Commander's Bullhorn	Field Tactician
Commonwealth Sandals	Gain Ground
Concealed Weapon	Fierce Justicar
Conductor's Wand	Ashwood Maestro
Confectioner's Boots	Treat Machine
Conflagration Gauntlets	Ruby Pyromancer
Conflagration Handguards	Burn
Conflagration Staff	Flamethought Seeker
Conservatory Candle Stick	Lumagoth
Constellation Blade	Zodiac Divination
Construct Guild Armor	Tavish, Construct Guild Boss
Construction Gloves	VB1311
Consuming Receptacle	Aura Eater
Containment Slippers	Containment Sphere
Convoy's Cap	Vilestrain Convoy
Cool Bracelets	Chill
Coriolis Boots	Cloud Titan
Corn Huskers	Stingy Jack
Corona Spear	Sunspeaker of Wakuna
Corpse Anchor	Bonetide
Corpse Caller's Catch	Corpse Caller
Corrupted Garrote	Relentless Corruption
Corvid Feather	Croven Memorythief
Cosmic Crown	Cosmicron
Cosmic Pendant	Ozawa, Cosmic Elder
Cosmic Warbonnet	Cosmic Flashpaw
Cotton Tuft Striker	Uzume's Handmaiden
Cottontail Jutte	Cottontail Ronin
Counselor's Staff	Diligent Counselor
Coupled Headgear	Double Trouble
Cover of Mysticism	Blades of Bone
Cowl of Emptiness	Slithering Marauder
Cowl of the Black Crucible	Eye of the Black Crucible
Cowl of the Nightstalker	Vampiric Nightstalker
Cradle of Madness	Dark Descent
Crafter's Cuffs	Crafty Skycarver
Crank Bazooka	Construction Plans: Crank Rocket
Creep Eye Gloves	Cavern Creeper
Crest of the Strikeforce	Strikeforce Sergeant
Crier's Handbell	Town Crier
Crimson Copperhead	Crimson Clarity
Crippling Spear	Cripple
Croven Dagger	Croven Memorythief
Crown of Blood Bonding	Wrathseeker
Crown of Indignation	Fiery Indignation
Crown of Proclamation	Vengeance of the Ancient Kings
Crown of the Ancient Kings	The Ancestors' Chosen
Crown of the Cloud King	Cloud King
Crown of the Goblin King	Bowie Starlight
Crucible Crudgle	Eye of the Black Crucible
Crucible Handlers	Tongue of the Black Crucible
Crush Boots	Death Dealer
Crustacean Cleaver	Hardshell Sealord
Crying Avatar Bust	Weeping Banshee
Crypt Runners	Mordrom's Gift
Cube of The Hatchery	Fanged Fanatic
Cuffs of the Harvestman	Arachnoglider
Cuirass of Judgement	Angel of Judgement
Culler's Blade	Merciless Culler
Cultist Coiffure	Mad Aradam Cultist
Cultivation Cap	Kaliban's Cultivation
Cultivators Caressers	Hatchery Cultivator
Cumulus Choker	Storm Cloud
Cursed Ink of Yazukan	Scroll of Yazukan
Curtail Cleats	Storm Rider
Cut of the Mountain	Rune Ear Commander
Cute Shoes	Changeling Cuties
Cutlass of Storms	Stormsprite
Cutthroat Compass	Ruthless Cutthroat
Cyborg Switch	Scraptooth Cyborg
Cyclops Spiked Shoulders	Obsidian Cyclops
Dagger Handlers	Sneakblade of the Milky Eye
Dagger of a Thousand Needles	Nibblin Swarm
Dagger of Eggblight	Eggblight Afflictor
Daisy Chain	Fever Bloom
Damned Visage	Ash Harpy
Dancing Boots	Dream Dance
Dancing Coif	Dancing Faeries
Dandelion Arm Guards	Crackling Sprout
Dangerous Threads	Woven Golem
Dark Disciple's Robes	Deepgaze Disciple
Dark Dreaming Vest	Sterling Starwatcher
Dark Slippers	Dark Echoes
Dark Tourniquet	Dark Echoes
Darkfur O-Yoroi	Darkfur Tailcutter
Darkspire Armor	Darkspire Enforcer
Darkspire Longblade	Darkspire Priestess
Daughter's Day Dress	Daughter of the Poet
Dauntless Staff	Sister Cynthia
Dawn Chargers Cowl	Dawn Charger
Dawnsteed Guiders	Dawnsteed
Day Dress	Sunrise Specter
Dead Man's Mark	Claws of the Dead
Deadeye Long Lacers	Deadeye Enforcer
Deathly Cowl	Elegy of Death
Decayed Robes	Decaying Dead
Decaying Hand	Decaying Giant
Declivous Cap	Dark Descent
Defiler's Necklace	Defiler of the Fallen
Deft Fletchers	Silent Shot Skirmisher
Deft Leather	Silent Shot Skirmisher
Degenerative Mace	Atrophy
Delivery Gloves	Wretched Wrangler
Depth Calibration Unit	Quicksand
Depth Gage	Old Man of the Sea
Deranged Chapeau	Dementia Daisies
Desired Pendant	Dark Desire of Nulzann
Dew Gatherers	Sparklecap
Ding Dong Ditchers	Tricky Tykes
Dingler Twig	Mass Polymorph: Dingler
Dinglewand	Dinglewiz
Dino Boots	Mecha T-Hex
Dino Club	Ankylosaurus
Dinoskin Duds	Dino Might
Dire Web Wraps	Dire Spider
Diseased Bone	Plague and Famine
Disembodied Head Resonator	
Displacement Collar	Vile Squirmhound
Disruptive Drivers	Disruptor Drone
Distasteful Boots	Taste of Defeat
Diving Tunic	Scallath
Divinity's Hymn	Angel of Dawn
Dogweed Duster	Poppy Pup
Dome of Extraction	Gront the Infinite
Doomseeker Boots	Argus, Herald of Doom
Doppel Gloves	Frenetic Doppelganger
Double Bow	Volley of Arrows
Double Brood Blade	Brood Count
Double Maw Scarf	Maw of the Hunt
Double-Bladed Sword	Darkspire Acolyte
Double-Step Boots	Moment of Glory
Doubling Crystall Ball	Paw of Yazukan
Dragon Crest Treads	War Prodigy
Dragonscale Gauntlets	Feral Domination
Dragonspeaker's Brooch	Dragonspeaker Daliah
Draw Bridge	Portcullion
Draxard's Heart Protector	Heartsworn Draxard
Dread Fingered Grasp	Dread Wight
Dreaded Skull Helm	Dread Wight
Dreadling Casket	Skittering Dark
Dream Cap	Dream Skarn
Dream Galoshes	Dream Spider
Dream Snatchers	Eldritch Dreamthief
Dream Staff	Enter the Dream
Dreamcatcher Headdress	Arcane Dreamcatcher
Dreamcatcher's Staff	Prophet of the Sun
Dreamstate Hood	Enter the Dream
Dreamthread Mittens	Whimsy Witch
Drifter's Lament	Eternal Drifter
Droo's Puncher	Droo's Unrelenting Fists
Dual-Bound Boots	Paired Power
Duelist's Tabard	Jags the Blademaster
Dusk Cowl	Dusk Scout
Duskwing Shard Ring	Duskwing Shepherd
Duskwing Taming Whip	Untamed Duskwing
Dusky Dancers	Dance of Dusk
Dusty Duster	Dust Cloud
Dusty Tail	Dust Bustard
Dwarven Fishing Pole	Dwarven Fish Bait
Eagle Feather Staff	Cry of the Eagle
Eagle Feathered Gloves	Dream Eagle
Earthcaller's Robes	Earthcaller
Efficient Waste Remover	Mechanized Compactor
Eggblight Bracers	Eggblight Stalker
Eggsackers	Spider Nest
Elastic Waistband	Egg Hunt
Electric Flail	Lightning Elemental
Elemental Gloves	Storm of the Century
Elite Handwraps	Rune Ear Elite
Ember Flurry Battle Axe	Shatter Shield
Ember Walkers	Rain of Meteors
Emberguard Robe	Elite Pyromancer
Emberleaf Sabre	Emberleaf Wardancer
Emberstrike Helm	Gallant Duelist
Embezzled Boots	Awaken
Emblazoned Chestguard	Gareth Kay
Emblazoned Gauntlet	Gareth Kay
Emblem of Adamanth	Citadel of Adamanth
Emunization Gloves	Emulate
Enchanted Walnut	Twintail Squirrel Titan
Enchanter's Footwraps	Prospero, Sylvan Enchanter
End Gauntlets	Spiraling End
End Greaves	Spiraling End
End Writer	Unwritten End
Engine Charged Shoes	Infinity Engine
Engineer's Smock	Construct Foreman
Enhanced Boots	Scraptooth Cyborg
Enhanced Fuel Ejector	Torchwing Ace
Enola Grips	Amphibious Arachnid
Ersatz Gloves	Copycat
Escalator's Wand	Zip Zapper
Escape Claws	Escape Goat
Essence of Gargalith	Gargalith
Eternal Compass	Eternal Architect
Eternal Enchanted Cowl	Twin Eternities
Eternity Sandals	Eternal Youth
Ethereal Coated Boots	Ethereal Healer
Ethereal Headwrap	Ethereal Caller
Evangelist Robes	Webspeaker Evangelist
Evening Attire	Lord Bernard P. Dunthorpe
Eventide Boots	Eventide Ender
Exoskeleton Prototype	Construction Plans: Hornet Bot
Explorer's Gloves	Cottontail Explorer
Explosive Handlers	Sapper's Wallbuster
Exsanguination Choker	Vampiric Nightstalker
Extra Firepower	LZ-37 Targeting System
Eye of the Underworld	Bloodeye Defiler
Eyes of Genius	Construction Plans: Ingenuity Engine
Eyes of Infinite Outcomes	Parallel Realities
F.L.F. Safety Helmet	Fungus Liberation Front
Face Scraper	Facetaker
Factoring Fingers	Cerebral Jack-hat
Fae Slippers	Dandelion Faerie
Faith's Shield	Bulwark of Faith
Faithful Gauntlets	Bulwark of Faith
Falconer's Tactical Gloves	To the Skies!
Familiar's Tasty Treat	Cerulean Grand Invoker
Fang of Scallath	Scallath
Fanged Barrier	Fanged Fanatic
Farsight Reachers	Lanupaw, Prophet of Fate
Fatestitched Mitts	Woven Golem
Favored Amulet	Diamond's Favor
Favored Boots	Ruby's Favor
Favored Chestplate	Wild's Favor
Favored Gloves	Sapphire's Favor
Favored Slicer	Blood's Favor
Fearful Scythe	Fearless Fray
Feed Handler's Gloves	Savage Lord
Feet of the Flashpaw	Cosmic Flashpaw
Feral Dagger	Mystic Squirrel
Feralfuel Backpack	Fuelmaster
Feralfuel Bomb	Fueling Station
Feralfuel Hyperborean Moccasin	Feralfuel Infusion Device
Feralfuel Pumps	Feralfuel Guzzler
Feralmaul	Wild Growth
Feralroot Bracers	Feralroot Tracker
Feralroot Slippers	Wild Root Dancer
Feralroot Vest	Feralroot Archdruid
Fertility Charm	Blossoming Concubunny
Festival Dress	Festival Barker
Festival Pumps	Festival Barker
Fetching Staff	Wakuna Lookout
Fidget Widget	Restless Fabricator
Fiery Judicator's Robes	Pyresoul Magistrate
Filched Charm	Imp Hoodlums
Filthy Boots	Cleanse
Finger Bone	Reprocessor
Fingerless Gloves	Artisanal Cheesesmythe
Fingers of Agony	Pained Existence
Fingers of Patience	Mystic of the Tranquil Dream
Fire Javelin	Total Meltdown
Fire-Touched Claws	Ricochet Blast
Firebolt Crossbow	Construction Plans: Ingenuity Engine
Firesale Pushers	VB213
Fireteller Helm	Incantation of Fury
Firewhip of the Setless Sun	Royal Valkyr
Flak Missile	Flak Scrapper
Flame Cut Cuirass	Vanguard of Gawaine
Flame Juggler Gloves	Playing With Fire
Flamethrower	Fuel for the Fire
Flaming Thurible	Candlelit Zealot
Flare Mantle	Matriarch of Flames
Flaring Kabuto	Cottontail Scout
Flash Frozen Fists	Dead of Winter
Flashpaw Pendant	Flashpaw Elder
Fleet Feet	Quick Strider
Fleetfoot Gloves	Canyon Fleetfoot
Flickering Knife	Flickering Gobbler
Floral Headband	Spring Dancer
Fluffy Bluff Vest	Ambling Bluff
Flush Red Cutlass	Royal Cutblood
Foil	Hired Horn Captain
Footwraps of the Stormcaller	Stormcall
Forbidden Mask	Forbidden Tomeseeker
Forboading Boots	Dread Demise
Forest Stalkers	Feralroot Jaguar
Foreststalker Gloves	Sly Huntress
Forever Blade	Forever's Child
Forged Fingers	Forge Flock
Formidable Helm	Iddi
Fossilized Horn	Tricerobot
Foxy Shoes	Fennec Fox
Fragment of Memory	Forgotten Monarch
Freak Fetters	Freak of Nature
Fresh Eggs	Egg Hunt
Fresh Fire Stoker	Purging Flames
Fresh Froggy Frock	Orchi-Kero
Fresh Spring Bloom	Spring Renewal
Frigid Deathplate	Coldheart Reaver
Frosted Fur Boots	Frosttusk
Frostmare Helm	Frostmare
Frostrune Twinblades	Coldheart Reaver
Frozen Buffalo Horn	Frigid Buffalo
Fruit Pluckers	Symeon's Bounty
Fruit Punchers	The Berry Bunch
Full Throttlers	Mortartrike Driver
Fungal Bloom	Death Cap
Fungi Fort	Noxious Banecap
Fungus Host Boots	Fungus Amongus
Furious Footguards	Furyseeker
Furious Loafers	Fury Chant
Fury Blade Balaklava	Furybringer
Fury Blade Vestments	Furybringer
Furybiter Bridle	Crazed Squirrel Titan
Gale Force Armor	Gale Force
Gallon of Chaos Milk	Whisker of Azathoth
Galvanic Gauntlets	Bottled Lightning
Gamma Gauntlets	Lumbering Gammadon
Gardener's Hat	Chlorophyllia
Gardening Gloves	Root Wrangler
Gardening Shirt	Forever's Bloom
Gauntlets of Austerity	Ascetic Aspirant
Gauntlets of Courage	Lord Alexander, the Courageous
Gauntlets of Dusk	Demon of Dusk
Gauntlets of Spite	Taste of Defeat
Gauntlets of the Tireless Watch	Protectorate Defender
Gauntlets of Vitality	Radiant Salvation
Gawaine Runners	Crusader of Gawaine
Gelatinous Footwear	Giant Jellyfish
Gelatinous Overcoat	Giant Jellyfish
Gem of Assimilation	Grim Assimilation
Gem Pocket Jerkin	Lumbering Sparklespore
Gem Scaled Gloves	Saarthu
Gem Walkers	Gemsoul Feeder
Gemblaze Greaves	Cinder Walker
General's Badge	General's Tent
Ghost Band	Spirit Dance
Ghost Hands	Ghost Howler
Ghostly Fingers	Ghost Sentinel
Ghostly Galoshes	Soul of Raqqar
Ghostly Waders	Elusive Specter
Ghostly Wrap	Lady Devonshire
Giant's Visage	Horrorcrafted Behemoth
Gift Receipt	Pippit's Gift
Giggling Guard	Giggling Scavenger
Gladiator Helm	Arena Regular
Gladiator's Dazzlers	Splitskull Gladiator
Glass Flail	Junk Barrier
Gleeful Girded Grand Guard	Jubilant Jouster
Glimmerfly Slippers	Glimmerfly Dance
Glittering Knuckles	Gem-Crazed Berserker
Glorified Gloves	Angel of Glory
Glorious Standard	Candlelit Cavalry
Gloves of Applause	Bellow of the Arena
Gloves of Betrayal	Herofall
Gloves of Conquest	Conquest of Romor
Gloves of Dismissal	Ushul
Gloves of the Airfarer	Typhoon Galleon
Gloves of the Archmage	Archmage Wrenlocke
Gloves of the Bright Moon	Brightmoon Totem
Gloves of the Dark Side	Terrible Transfer
Gloves of the Full Tankard	Portsmeare Guard
Gloves of the Manti	Druidic Exoshaper
Gloves of the Rotting Touch	Rot Caster
Gloves of the Suttee	Suffering Pyre
Gloves of the Wounded Petal	Guru of the Wounded Petal
Gloves of the Wraith	Horrific Poltergeist
Gloves of Trickery	Smirking Trickster
Gloves of Unrelenting Pain	Giant Corpse Fly
Gnatmare Anklebiters	Gnatmares
Gnawed on Armband	Mawstorm
Gnoll Gear Iron	Scraptooth Mangler
Gnome Satchel	Gnome Wayfarer
Gobbler Girdle	Engorged Gobbler
Gobbler's Footgear	Bogberg, the Great Gobbler
Gobbler's Goggles	Bogberg, the Great Gobbler
Goblin Kickers	Gront's Gift
Golden Curiass	Hardshell Guardclaw
Goldfingered Gloves	Chest'O Hex
Goliath's Gear	Inferno Goliath
Gooey Greaves	Gooplasm
Gore Thirster	Fury of the Mountain God
Gorecaster Gauntlets	Qutzul Gorecaster
Gortezuma's Ritual Robe	Gortezuma, High Cleric
Graced Guards	Angel of Agony
Graftable Augmentation Cannon	Armitron
Grafted Stave	Symeon's Bounty
Grandaddy's Compass	Royal Cutblood
Granite Cuirass	Granite Giant
Granite Gauntlets	Palm of Granite
Granite Helmet	Boulder Behemoth
Grappling Hook	Narrow Escape
Grave Blade	Graveblade Skirmisher
Grave Officer's Garment	Grave Offering
Graverazor	Gravestalker
Gravitross Slayer	Swooping Gravitross
Greatblade of Judgment	Arbiter of Twilight
Greaves of Undeath	Sudden Awakening
